Tweets,Category
"Down with CO2 emissions, #Mumbai.
#DoYourShare for your city!  https://t.co/Fyxvq5ix3Z",0
Time to bring down the CO2 emissions in the city. #DoYourShare for Namma #Bengaluru!  https://t.co/gIBNrqJVTI,0
Here's a unique chance to get a firsthand experience of the #KillerNote5 TheaterMax with your @Olacabs ride. https://t.co/6JDoC0c7ZH,1
Don't forget to tag your friends and make a larger impact in reducing CO2 emissions in your city. https://t.co/cqSZLCDqxR,1
Am supporting @Olacabs #DoYourShare initiative what about you? R u supporting @karishmadmpy @anupambassi71 @JohnTerence_A,1
@pitabashjena101 That will help a lot in reducing pollution and the traffic in your city. #DoYourShare,1
@itsmemujahid92 And it's as simple as taking an #OlaShare! #DoYourShare for your city!,0
@akriti_seth Way to go!! @ClassicallyWild @HalfAComic @shirishr07 @kishan_vagale @bawdebanna #DoYourShare,0
https://t.co/3XkwOmZr3Q,0
"Folks, are you with us? Let's reduce CO2 emissions together!! #DoYourShare @WRIIndia  https://t.co/JXRKffV9NU",0
@vnitnagpur Way to go Avinash! Keep up the good work. #DoYourShare,1
"Which city do you think is the greenest of the three?
Make your choice now, folks! #DoYourShare",0
"Anyone interested in winning a VR Headset? Let us know with your RTs
@ContestBoard @ContestIndia_ @Contest_Hub @thefreejinn @Flipkart",1
Which movie will you like to watch with #TheatreMaxOnOla and why? Funniest answers win. Get started!! https://t.co/CgxzDEbo73,1
"@AmitVishnani1, you've won a cool VR headset. Please DM us your mailing address and phone number. #TheatreMaxOnOla https://t.co/wV1JBJNzdG",1
"@_Rashi__, you've won a cool VR Headset. Please DM us your mailing address and contact number. #TheatreMaxOnOla https://t.co/3SBGA4IDE7",1
"The race has begun! #Delhi and #Mumbai are inching ahead right now. Come on #Bengaluru, buck up! #DoYourShare https://t.co/aHLH9Ddjmr",0
"If you're in #Guwahati, help the flood-hit victims with food &amp; other necessities. 
https://t.co/Ee0WOGs0Vg https://t.co/l86mXs1Aa4",1
".@Olacabs Open the Ola App between AUG 6-8 from 1pm-7pm, click on the DONATE icon &amp; we'll be at your doorstep to collect your donations",0
"@bhargavi199104 Food, clothes and other necessary items only. Thank you.",1
@om15pandey We're collecting only in Guwahati for now. We appreciate that you care.,1
The fight for reducing CO2 emission is getting stronger! #Bangalore has caught up with #Delhi &amp; #Mumbai #DoYourShare https://t.co/ldjh8RO0u7,0
**Contest Alert** helped in reducing the CO2 emission for your city? @ContestBoard @C0NTESTINDIA @Contest_Hub @thefreejinn #DoYourShare,0
We're serious about reducing CO2 emissions. Have you taken the max Share rides this week? Share your OSN and win something cool #DoYourShare,1
"#Bengaluru has raced ahead of #Delhi and #Mumbai! 

Now #DoYourShare for cleaner air for your city! https://t.co/QFRpzcwR4g",1
Send us a pic &amp; tell us what inspires you to travel in India to win a #Blr2Border trip with #OlaOutstation https://t.co/ynzFDhi82p,1
"A healthy lead for #Bengaluru! Come on #Mumbai and #Delhi, #DoYourShare to score a lead! https://t.co/KzXe4zE3Yo",1
"Heading out for #FriendshipDay celebrations? Like all best friends, we're always near you when you need us.Book now! https://t.co/8VNmypBvs1",1
#Bengaluru is leading the race for cleaner air. This weekend #DoYourShare to help #Mumbai and #Delhi get ahead. https://t.co/g2BZII1iqq,1
One more week to go and #Bengaluru has taken a big lead! Come on #Mumbai and #Delhi #DoYourShare https://t.co/BiBvDpeD45,0
Every city`s got something to say about the competition. Pick your quote &amp; share it with your friends #DoYourShare https://t.co/RLWZe77dSK,1
"#Bengaluru is still leading, #Mumbai and #Delhi #DoYourShare. Take Ola Share ride and help reduce CO2 emission. https://t.co/ocroFUl30O",1
The green rider of the week is @rakeshraju77 with most number of share rides! He has reduced CO2 emissions in his city. #DoYourShare,1
"#Delhi &amp; #Mumbai, #ShareYourRide as #Bengaluru is slowing inching towards the target of 400 tonnes of CO2 reduction. https://t.co/6fjSgsUrZ0",0
"There you go #Delhi! Now #Bengaluru and #Mumbai, #DoYourShare to take your city to the victory line! https://t.co/qwEWfufdCx",0
"Prove your city is better! Take an Ola Share before 15th August &amp; reduce CO2 emissions by 400 tonnes #DoYourShare
https://t.co/AxmcF7Jpdv",1
"@BoseSoumopriyo Hi Soumopriyo, we have already informed our maximum Share ride. Thank you.",1
"Ola team of VETs were @ Kaziranga on August 6 &amp; 7, to attend to the injured domestic &amp; wild animals. https://t.co/YuQEBvzxiR",0
"#Delhi is maintaining its lead! #Bengaluru and #Mumbai, do your bit for cleaner air in your city. #DoYourShare https://t.co/i68gQ9ziYs",1
#Delhi &amp; #Bengaluru is slowly taking a bigger lead. #Mumbai  #DoYourShare to contribute to reduction of CO2 emission https://t.co/YBQiHmbgZM,0
#Bengaluru has sneaked past #Delhi and #Mumbai in the race to achieve cleaner air. #DoYourShare https://t.co/j75mJA5nld,1
Which city do you think will be the first to reduce CO2 emission by 400 tonnes. #DoYourShare,0
#Bengaluru's lead is getting bigger. Come on #Delhi &amp; #Mumbai #DoYourShare and get ahead in the race to cleaner air. https://t.co/vxHtdMX62i,1
Only 5 days to go and #Bengaluru has a commanding lead. Time to pull up your socks #Delhi &amp; #Mumbai. #DoYourShare https://t.co/Z3r3sQLOfc,0
"@zaiuranjit #FunDrive, indeed!",0
#Bengaluru is leading steadily vs #Delhi and #Mumbai. #DoYourShare to help your city in reducing CO2 emissions. https://t.co/2LTxu3n0K9,1
#DoYourShare https://t.co/ZTxfzdWDfy,0
#DoYourShare  https://t.co/4yqiMuaLdl,0
@Olacabs amazing service. Specially as I was new to this place #Trusted you and you proved me right making my trip amazing ?? #ThankyouOla,1
Going green was never easier! Take an Ola Share and help reduce CO2 emissions in your city. #DoYourShare https://t.co/JEQnxFWYMJ,1
"Did you #DoYourShare? If yes, here's your chance to show off &amp; win Ola Money, while your city's winning cleaner air! https://t.co/6YwEqtt3sY",1
*Contest alert* Participate and win Ola Money! @ContestBoard @C0NTESTINDIA @Contest_Hub @thefreejinn #DoYourShare https://t.co/5xf2lp3VVD,1
"Hey #Mumbai and #Delhi, #Bengaluru has further increased it's lead in the quest for cleaner air. #DoYourShare https://t.co/KeFaXtRB3A",1
@UditDD The solution is ride sharing. Reduces traffic and pollution! #DoYourShare @BloreConnect,1
4 days to go to reach the goal of reducing 400 tonnes of CO2 emission in #Bengaluru #Delhi &amp; #Mumbai #DoYourShare https://t.co/9CJQ3k9QbQ,0
It was fun having you on board guys!! #OlaPrimeSUV https://t.co/fnGJGUKCzw,1
"Congrats VIjay, you have won for yourself a #Blr2Border trip with #OlaOutstation! We'll DM the details shortly. https://t.co/DRNIkRQA75",1
Send your message to Jawans as a tweet &amp; Ola Outstation will deliver it to them on Independence Day #SainikKoSandesh https://t.co/NoyDyOkMxi,0
Your messages would be hand-delivered to our Jawans at the Wagah Border by Ola Outstation. Keep 'em coming! #SainikKoSandesh,0
"#Bengaluru has further strengthened its lead on the quest for cleaner air. Come on #Delhi and #Mumbai, #DoYourShare https://t.co/OzXL60l5cP",1
".@Olacabs finds the sweet 'spot' to engage with commuters from Delhi, Mumbai and Bangalore with #DoYourShare https://t.co/NGoBvhmkOf",1
"#SainikKoSandesh Kashmir se leke kabyakumari, Sabpe bhari Army Humari 
#Respect #RealHeroes #IndianArmy",0
"@pratapkoc Great job, Pratap! Thanks for being the hero in your city's quest for clean air!",1
The tweets with the best message to our jawans will be featured by @Fever_104FM! #SainikKoSandesh #JaiHind,1
Its not only on #IndependanceDay &amp; #RepublicDay that we remember you. You are always in our prayers &amp; best wishes! #JaiHind #SainikKoSandesh,1
https://t.co/Dls7YKg1RP,0
https://t.co/AhBwkQvnNH,0
3 more days to reach the goal. #Bengaluru is way ahead of #Mumbai and #Delhi. #DoYourShare https://t.co/onAA3PXotR,1
Ready to become a super-hero for your city? Share your 'green' selfie! RT &amp; spread the news #DoYourShare https://t.co/hmXHh4rPtE,1
#Mumbai has now clinched the second spot from #Delhi. Time to become the heroes for your city  #DoYourShare https://t.co/LlmopW0gQN,1
"2 days to go, come on #Delhi and #Mumbai #DoYourShare to get past #Bengaluru https://t.co/xOmyx4W9IA",0
#Bengaluru is slowly inching towards finishing line of 400 tonnes of CO2 reduction. #Delhi &amp; #Mumbai  #DoYourShare https://t.co/ePziFstX9t,0
#Blr2Border #OlaOutstation https://t.co/x0zZ2w7PE8,0
Last leg! 100 kms to reach #amritsar. @Sriramsullia #Blr2Border #OlaOutstation https://t.co/pZ3U2op4Vg,1
"Recharge your Ola Money on the Ola app using the code ""ASSAM"" to donate to the CM's Relief fund &amp; help rebuild Assam https://t.co/5sHgHx9z1m",1
Yours truly is travelling to Wagah Border to salute the Jawans this Independence day!! #Blr2Border #OlaOutstation,1
"One day more to go! Come on #Bengaluru, #Mumbai and #Delhi #DoYourShare to reduce CO2 emission. https://t.co/nwo9KY30Q1",0
Every time you take an Ola Share you become a super hero for your city. #DoYourShare https://t.co/TyWlQNEo6l,1
#Bengaluru seems to be first to the victory line! Come on #Delhi and #Mumbai #DoYourShare https://t.co/7zr0UuviXo,0
"Wishing you a very happy 70th year of Independence. 
#IndependenceDayIndia https://t.co/F0rMydo67y",1
Have you taken your first ever Ola share ride between 3rd and 15 August? Get prepared to be surprised! #DoYourShare https://t.co/QdaRmTjqei,1
#Bengaluru is first in reducing CO2 emission by 400 tonnes. Come on  #Delhi &amp; #Mumbai #DoYourShare https://t.co/f9nVE6aQWY,0
"What a feeling indeed! Thanks for capturing it, for us to experience! Jai Hind! #Blr2Border https://t.co/Qva0ZtlV70",1
@gauravwankhede wish you a very happy Independence day too. #IndependenceDayIndia,1
#Mumbai and #Delhi are also inching towards the goal of 400 tonnes of CO2 reduction. #DoYourShare https://t.co/8O88mBpjeh,0
"All the three cities #Bengaluru, #Delhi &amp; #Mumbai have successfully achieved the goal of CO2 reduction.#DoYourShare https://t.co/57gIB3CbNz",1
@shwetabh84 thank you ??,1
Had an amazing experience while travelling with #OlaOutstation #FirstTime.The customer care service at @Olacabs is really awesome #ThankYou,1
What feeling!! Gone Insane!! Jai Hind! #wagahborder #Blr2Border #OlaOutstation https://t.co/uPPdFmhHLm,0
The no. of #OlaShare rides #Bengaluru took was phenomenal! Its time we celebrate #Bengaluru's victory! #DoYourShare https://t.co/th3UZ3FEA6,1
.@Olacabs introduces one-of-its-kind 'Billboard' to track real-time carbon emission levels https://t.co/y6y78fxoSM https://t.co/IIpcBXFo5n,0
"@sandz1312 Our app can hook you up with the nearest cabs. For everything else, you can reach us at 33553355, prefixed with your city code.",0
"Congrats #Mumbai #Delhi #Bengaluru - you have done your share for cleaner air. RT if you contributed!
#DoYourShare https://t.co/YFZfqhFBtg",1
"Peeps, ride an #OlaLux before Aug 23, &amp; you could win PVR Gold class tickets! 
https://t.co/wIiSL3Xg8t @_PVRCinemas https://t.co/VSbvGe9ojo",1
Do it for your siblings! #HappyRakshaBandhan https://t.co/v461yt1LtD,0
"Whether you're in the same city or away, there're somethings abt you, only your sibling gets. #HappyRakshaBandhan https://t.co/ZMxluyi2tK",0
"#Hyderabad Open the Ola app between 11am &amp; 3pm, Click on 'Rakhi' for a sweet surprise https://t.co/RlEFITTmeK https://t.co/bIjMDS6jEe",1
"So proud of #SakshiMalik, driving India's dreams &amp; hopes at #Rio2016
You are the real superstar!
THANK YOU",1
"@DivijaRao Well ride-sharing would definitely help in reducing the traffic in Bangalore, even during the rains. #OlaShare",1
#Hyderabad The deadline has been extended till 5pm. You've still got a couple of hours to be sweetly surprised! ???? https://t.co/610bkIwBWq,1
"@kanikagupta10 Ride-sharing would help a lot in reducing the traffic congestion, as well. #OlaShare",1
India is a traveler's paradise for offbeats destinations. Share one &amp; WIN! https://t.co/OltEI5DjCa #OlaOutstation https://t.co/BfjZJbKegc,1
**Contest Alert** For all you avid travellers @ContestBoard @C0NTESTINDIA @Contest_Hub @thefreejinn #OlaOutstation https://t.co/NGqLibsUwY,1
We're committed to make the roads safer for you! Proud to be the travel partner for National Workshop on Road Safety https://t.co/oLstRH804B,1
@digitalera313 And support ride-sharing! A sure-shot way to reduce traffic in the city #OlaShare #BengaluruTraffic @BloreConnect,1
Todays one day your boss wont mind if you leave work early! Rush back to home to cheer for Sindhu! Match starts at 6:55 pm! #GoSindhu,1
"Leave work early, and be home in time to watch PV Sindhu serve you over! #GoSindhu https://t.co/uyndCUOlq0",0
"Use promo code SINDHU and get Rs 100 off on your Ola ride between 5 and 6 today. (Code applicable on mini, prime &amp; lux) #GoSindhu",0
"@IamSocialninja Go for it, Abhishek! https://t.co/SnVLdA9xzh",0
@HarshBaba_jlt We always love the way photos look on #Instagram. So that's our preferred destination for #CABtured,1
"@akankshitjha22 Better to be early than late, don't you think? #GoSindhu",1
"Code is LIVE! Pack up, book your ride, and head home! 
#GoSindhu https://t.co/sNFiFIKtbd",0
"For those who are just about to leave home, validity of coupon code ""SINDHU"" extended till 6.30pm. #GoSindhu",0
@Girliyapa We think it could and we've already started implementing this in our cabs.,0
@Varsaw Rosary Church seems like a very intriguing place. #OlaOutstation,1
@SuperMonk5 Tamhini ghats is indeed an amazing place to visit. #OlaOutstation #offbeat,1
"Shop till you drop! More details - https://t.co/2EVKzz2nTK. 
Shop Now - https://t.co/eTuQSaMdUf https://t.co/65lhxwXsEV",0
Are you a hard-core #Chennai-ite? Ready to put your knowledge about the city you love to the test? #MadrasDay quiz coming up #OlaMadras,1
**Contest Alert** The #MadrasDay quiz coming up! @ContestBoard @C0NTESTINDIA @Contest_Hub @thefreejinn #OlaMadras https://t.co/g0UMppfoFB,0
"@MadhanG91 coming soon, Madhan! RT and spread the news.",0
"A month's worth of free rides in #Chennai, up for grabs! #OlaMadras #MadrasDay",1
@MorePratikesh Great choice. #OlaOutstation,1
Showcase your knowledge about #Chennai &amp; win free rides for a month https://t.co/x0Xr2Ix6Hi #OlaMadras #MadrasDay https://t.co/fkbnbbtZqi,1
Here's the first question. Q1. Which Film Maker's company is called Madras Talkies? #OlaMadras,0
Winner of each question will get Ola Money &amp; the grand winner who gets all questions right gets free rides in Chennai for a month #OlaMadras,1
Don't forget to follow us and RT the contest tweet! #OlaMadras https://t.co/IoF9UFQROs,1
"The answer is indeed Maniratnam. Congratz @talesfromaaroo for winning Q1. 
Q2 coming right up! #OlaMadras https://t.co/29Rar0rNNu",1
"Q2. Corporation of Madras is the oldest municipal body in the Commonwealth Nations, outside Britain. When was it established? #OlaMadras",0
"Yep, the answer is indeed 1688. Congrats @Nive1109! Q3 coming next. Keep RTing and spread the news. #OlaMadras https://t.co/K4TnaFPzGi",1
Q3. Pincode 600036 represents which area? #OlaMadras,0
That is the correct answer for Q3. Congrats! #OlaMadras  https://t.co/4mVkmtK8aW,1
Q4. BBQ (not referring to barbecue) is a railway station code for which station? #OlaMadras,0
Perfect answer @sethiashish6! Q5 coming up soon!  https://t.co/GpeNsloPMu,1
Here's number 5! Q5. What is the entire length of the Marina Beach? #OlaMadras,1
That's the correct answer to Q5. Congrats @drishti_raina3! #OlaMadras  https://t.co/Mmlvz2Ebcx,1
"In Madras or Chennai Tamil slang, when a person is called a Peter or a Mary what is he doing? #OlaMadras",0
"Hehe, that's right @iarunsb! Q7 coming next. #OlaMadras  https://t.co/KFqSSJ53Y3",0
"Q7. Where in Chennai would you have a Hindu shrine, a Buddhist shrine and a church in one place? #OlaMadras",0
That's right @srimad. Congrats! The next question coming up shorty. #OlaMadras  https://t.co/8I8Cu6DbMI,1
"Q8. Which team did India face in the first test match played on the ground, now called the M.A. Chidambaram stadium? #OlaMadras",1
That's right @adikeshav! Congrats on getting Q8 right! Q9 coming up. #OlaMadras  https://t.co/0St6SsiFA5,1
"Q9. This is one of the 4 National Depository Centres, it receives a copy of all newspapers and books published in India. #OlaMadras",0
That's right @MichaelAnish. The final question of #OlaMadras coming up. https://t.co/RrONd3oqrW,0
Here is the final question. Q10 What is the motto of the Chennai Corporation? #OlaMadras,0
Congratulations @Che_Sa on winning an all-expenses paid trip to Dubai!! https://t.co/Q1Df9MLNzj,1
That is indeed right @eK_1311! The final grand prize will be announced in the next 15 mins. #OlaMadras https://t.co/LZAR5e9EAT,1
"Congrats to all the #OlaMadras winners. Please DM us your full name, phone number and email ID. Grand prize winner to be announced shortly.",1
"Grand prize winner for the #MadrasDay quiz is @MichaelAnish. Congrats Mike! DM your us full name, phone number &amp; email address. #OlaMadras",1
@cycle_soosai #JammedInACab,0
Six tips to have a great experience on your #OlaShare ride. Head here to read more: https://t.co/HzNkPUYrEk https://t.co/LfmRLbRBTe,1
"@eK_1311 Hi Kumaran, please DM your details to receive your prize for #OlaMadras",1
Roadtrip to Wagah with @Fevr104Bengluru &amp; @thinktonk!! See the amazing #Blr2Border photos on https://t.co/PSmQlal3dg,1
"@RajeevKusugal Perhaps next time, you could watch this instead. 
https://t.co/5vhpMwnCdg",0
Impressive indeed! That would've been a ride to remember. #DriverNowPlaying ?????? https://t.co/goUToM84Ke,1
@mjkhanz #CoPassengerBeLike #ShareTales https://t.co/WYx2OkqwHp,0
@CaptainChennai Tried ride-sharing? That would help put lesser cars on the road. Thus reducing traffic #OlaShare,1
@BhargavPurohit @YehDekhoKyaHai We didn't have to. Our customers have done it for us. https://t.co/SaUhx2087I,0
"@NehaDhupia Hey Neha, we have taken care of this. Peace",1
"Our first interactive post on #FB!!! Chegg it out here: https://t.co/tQD2WWSLNT
#OlaShareFTW #OlaShareProTips",0
"Any trips planned for the long weekend, next week?",0
"@rachit_g2 Well, there's still a week's time plan one, Rachit. #OlaOutstation",1
@Life_A25 We have a few coming up! Watch this space :) #OlaOutstation,1
"@Deepakberiwala Awesome, Deepak!",1
"@rajthakur254 Something awesome, coming up. Stay tuned, Raj. #OlaOutstation",1
"Guess, we match better than @Tinder_India :) #ShareTales https://t.co/divZkiMRzE",1
"@bhansaliakhil All the while, doing your bit for environment. Great going, Akhil.",1
"@dipka06 Right back at you, Deepika! Wish you a great day ??",1
"Love Jazz music? Show us your #Jazz&amp; #Blues playlist and win passes for this event: https://t.co/L1tTbnsszU 
#Bangalore #jazz",1
"Tell us your favourite #jazz song &amp; win passes for Indigo &amp; Blues  International Jazz &amp; Blues Festival https://t.co/L1tTbnsszU
#Bangalore",1
@GuptaWords Please DM us your email address and phone number ASAP. Thanks.,1
@Dheerajverma20 Please DM us your email address and phone number ASAP. Thanks.,1
Share names of little-known travel destinations in India &amp; go on a trip sponsored by #OlaOutstation &amp; @Wander_Trails https://t.co/N7dkZ3sWuu,1
"If you are in #Varanasi, you can help too. We're collecting relief material #OlaBoat
Read: https://t.co/QlmEYVject https://t.co/NzJNdP9CUn",1
"@Srinivazzi Thanks. If you are in #Varanasi or #Allahabad, we're collecting relief material. Do help out. #OlaBoat",1
@deepakl_2000 We've deployed #Olaboat to help ppl in flood effected areas in #Varanasi and #Allahabad. You can help: https://t.co/QlmEYVAP41,1
"Open the Ola App (27 -29 Aug, from 8am-6pm), hit 'DONATE', &amp; contribute. #OlaBoat Read:  https://t.co/QlmEYVAP41 
RT https://t.co/9xLI1pnVun",0
We're glad that we're able to help. If you are in Varanasi or Allahabad - please help. https://t.co/QlmEYVAP41   https://t.co/egkENOjLG1,1
"@princepatni Hi, please DM us your email Id and phone number. We'll get in touch with you very soon with the details.",1
Thank you @aadil for the lovely words and the photos. #OlaLux https://t.co/J0db4fimph,1
A stylish #OlaLux ride with @nishkalulla and @Style_Cracker https://t.co/4OhZJuoMz5,0
@Srinivazzi @SmokeHouseDeli #ShareTales,0
"@AmrishSawe While the upgrade must've felt great, it's nowhere close to the glory #YogeshwarDutt has brought to the country!",1
Thank you for your donations &amp; relief support for those affected by the #AssamFloods. Thanks for these smiles! https://t.co/6uBj6LMTul,1
Vote for the most offbeat weekend getaway and make the person who suggested the destination WIN #OlaOutstation,1
"@iyashwadhwani Yash, we have #OlaShuttles in Noida Sec 62, Palam Vihar, Sohna Rd transporting people to the nearest metros. Spread the word",0
"If you're stuck anywhere due to the #DelhiRains, let Ola Shuttle drop you to the nearest Metro Station. Stay safe! https://t.co/NFdSrmLl6j",0
"#OlaShuttles in Noida Sector 62, Munirka are transporting people to the nearest Metro St. Plz RT #DelhiRains https://t.co/8PL5EYGkk9",1
"@WaqasEkram  Hi Waqas, this is a free service to help people stuck at waterlogged areas.",1
Thank you @ankitjena. We try to do everything to keep our cities moving. https://t.co/cSlgLRS5fx,1
Rush your entries in and WIN! The contest ends tomorrow! https://t.co/OltEI5DjCa #OlaOutstation @Wander_Trails https://t.co/mmI2mHctyE,1
